quantity_part,negro,gris,blanco,gris_2,rojo,azul,amarillo,beige,gris_3,marron,Cardboard/Paper,Cloth,Flexible Plastic,Metal,Plastic,Rubber,"Bars, Ladders and Fences",Baseplates,"Belville, Scala and Fabuland",Bricks,Bricks Curved,Bricks Round and Cones,Bricks Sloped,Bricks Special,Bricks Wedged,Containers,"Duplo, Quatro and Primo",Electronics,"Flags, Signs, Plastics and Cloth",HO Scale,"Hinges, Arms and Turntables",Large Buildable Figures,Magnets and Holders,Mechanical,Minidoll Heads,Minidoll Lower Body,Minidoll Upper Body,Minifig Accessories,Minifig Heads,Minifig Headwear,Minifig Lower Body,Minifig Upper Body,Minifigs,"Non-Buildable Figures (Duplo, Fabuland, etc)",Non-LEGO,Other,Panels,Plants and Animals,Plates,Plates Angled,Plates Round Curved and Dishes,Plates Special,Pneumatics,Projectiles / Launchers,Rock,Stickers,"String, Bands and Reels","Supports, Girders and Cranes",Technic Axles,Technic Beams,Technic Beams Special,Technic Bricks,Technic Bushes,Technic Connectors,Technic Gears,Technic Panels,Technic Pins,Technic Special,"Technic Steering, Suspension and Engine",Tiles,Tiles Round and Curved,Tiles Special,Tools,Transportation - Land,Transportation - Sea and Air,Tubes and Hoses,Wheels and Tyres,Windows and Doors,Windscreens and Fuselage,0
36,0.2777777777777778,0.0,0.08333333333333333,0.0,0.3055555555555556,0.1388888888888889,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8888888888888888,0.1111111111111111,0.0,0.0,0.0,0.7777777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,9
107,0.06542056074766354,0.0,0.29906542056074764,0.0,0.3644859813084112,0.14018691588785046,0.12149532710280374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9065420560747663,0.0,0.0,0.0,0.018691588785046728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07476635514018691,0.0,9
129,0.15503875968992248,0.0,0.17054263565891473,0.0,0.24806201550387597,0.21705426356589147,0.17054263565891473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9689922480620154,0.031007751937984496,0.0,0.0,0.0,0.8294573643410853,0.0,0.0,0.0,0.031007751937984496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015503875968992248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046511627906976744,0.07751937984496124,0.0,9
203,0.059113300492610835,0.0,0.9359605911330049,0.0,0.0049261083743842365,0.0,0.0,0.0,0.0,0.0,0.059113300492610835,0.0,0.0,0.0,0.9408866995073891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9408866995073891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.059113300492610835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
1871,0.6606092998396579,0.0,0.0085515766969535,0.0,0.23089257081774453,0.009620523784072688,0.013361838588989846,0.05611972207375735,0.0016034206306787815,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0016034206306787815,0.0,0.0,0.4917156600748263,0.0,0.0,0.0010689470871191875,0.010154997327632281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002137894174238375,0.0,0.4323890967397114,0.0,0.002137894174238375,0.03687867450561197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004810261892036344,0.0,0.0,0.0,0.0,0.0016034206306787815,0.0,0.0,0.013361838588989846,0.0,0.002137894174238375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6
1756,0.1082004555808656,0.0,0.3690205011389522,0.0,0.06776765375854214,0.007403189066059226,0.0028473804100227792,0.011958997722095672,0.2642369020501139,0.0,0.0,0.0,0.0,0.0,0.9977220956719818,0.002277904328018223,0.021070615034168565,0.0,0.0,0.10876993166287016,0.0,0.06435079726651481,0.11845102505694761,0.07061503416856492,0.012528473804100227,0.0,0.0,0.0,0.0,0.0,0.06605922551252848,0.0,0.0,0.0,0.0,0.0,0.0,0.006264236902050114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03189066059225513,0.0,0.12984054669703873,0.025056947608200455,0.11446469248291571,0.056378132118451024,0.0,0.0,0.0,0.0005694760820045558,0.0028473804100227792,0.002277904328018223,0.006264236902050114,0.0,0.0,0.022779043280182234,0.0,0.0,0.0,0.0,0.007403189066059226,0.0011389521640091116,0.0,0.02847380410022779,0.0056947608200455585,0.0734624145785877,0.0,0.0,0.002277904328018223,0.0,0.01879271070615034,0.0,0.002277904328018223,6
679,0.12665684830633284,0.0,0.042709867452135494,0.0,0.5655375552282769,0.007363770250368188,0.004418262150220913,0.0014727540500736377,0.15758468335787923,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0029455081001472753,0.0,0.0029455081001472753,0.08541973490427099,0.027982326951399118,0.013254786450662739,0.035346097201767304,0.020618556701030927,0.008836524300441826,0.0,0.0,0.0,0.0,0.0,0.07658321060382917,0.0,0.0,0.0,0.0,0.0,0.0,0.016200294550810016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005891016200294551,0.0,0.23858615611192932,0.03240058910162003,0.0780559646539028,0.07952871870397643,0.0,0.0,0.0,0.0014727540500736377,0.0029455081001472753,0.0029455081001472753,0.008836524300441826,0.0,0.0,0.045655375552282766,0.016200294550810016,0.013254786450662739,0.0,0.0,0.07363770250368189,0.0014727540500736377,0.023564064801178203,0.06921944035346098,0.0029455081001472753,0.0029455081001472753,0.0,0.0,0.0,0.0,0.004418262150220913,0.005891016200294551,0.0,1
190,0.3,0.0,0.005263157894736842,0.0,0.0,0.005263157894736842,0.32105263157894737,0.0,0.1368421052631579,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.015789473684210527,0.0,0.0,0.08421052631578947,0.021052631578947368,0.07368421052631578,0.1368421052631579,0.005263157894736842,0.08947368421052632,0.0,0.0,0.0,0.0,0.0,0.021052631578947368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14210526315789473,0.05263157894736842,0.0,0.021052631578947368,0.0,0.0,0.0,0.005263157894736842,0.0,0.0,0.04736842105263158,0.0,0.015789473684210527,0.04736842105263158,0.0,0.0,0.0,0.0,0.08421052631578947,0.0,0.0,0.07368421052631578,0.0,0.0,0.0,0.0,0.021052631578947368,0.0,0.042105263157894736,0.0,0.0,6
669,0.13004484304932734,0.0,0.01943198804185351,0.0,0.2944693572496263,0.007473841554559043,0.008968609865470852,0.0,0.11061285500747384,0.0,0.0,0.0014947683109118087,0.0,0.0,0.9985052316890882,0.0,0.02391629297458894,0.0029895366218236174,0.0,0.2571001494768311,0.02092675635276532,0.01195814648729447,0.13153961136023917,0.08819133034379671,0.0,0.0029895366218236174,0.0,0.005979073243647235,0.0,0.0,0.01046337817638266,0.0,0.0,0.0,0.0,0.0,0.0,0.026905829596412557,0.0,0.0014947683109118087,0.0,0.004484304932735426,0.0,0.0,0.0,0.0,0.0,0.0,0.17937219730941703,0.0,0.01943198804185351,0.029895366218236172,0.0029895366218236174,0.0,0.0,0.0,0.005979073243647235,0.013452914798206279,0.004484304932735426,0.0014947683109118087,0.0,0.02242152466367713,0.0029895366218236174,0.0014947683109118087,0.0,0.0,0.0029895366218236174,0.0,0.0,0.07623318385650224,0.0,0.013452914798206279,0.0,0.0029895366218236174,0.0,0.0,0.0014947683109118087,0.029895366218236172,0.0,8
3133,0.12958825406958188,0.01021385253750399,0.014682413022661985,0.0,0.015001595914458985,0.1046919885094159,0.0,0.0063836578359399935,0.5384615384615384,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.01883179061602298,0.0,0.0,0.03798276412384296,0.0,0.02872646026172997,0.021704436642195978,0.014363230130864985,0.0012767315671879987,0.0025534631343759975,0.0,0.0,0.0,0.0,0.017235876157037984,0.0,0.019150973507819982,0.0,0.0,0.0,0.0,0.06255984679221194,0.0012767315671879987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04596233641876796,0.0,0.23842962017235877,0.05202681136291095,0.013405681455473986,0.05075007979572295,0.000957548675390999,0.0,0.0006383657835939994,0.0,0.0,0.0,0.008617938078518992,0.0022342802425789976,0.0,0.08203000319182892,0.0015959144589849984,0.01021385253750399,0.012448132780082987,0.0,0.14107883817427386,0.0,0.0,0.030641557612511968,0.0025534631343759975,0.07979572294924991,0.0,0.0,0.0,0.0,0.000957548675390999,0.0,0.0,6
